source,opus_no,hash
tsumepara,0,2a09a9bde7aa211cc57c1f0c8b0ccad594346a16090280cc385ef646c773b17c
tsumepara,1,18055129b74bbf00129aaec791177827d7b082407ae913de43665ad02c549189
tsumepara,2,a7cd47262f8a218990992646ce198165fbdb0ffe76d842d4d259e3fc46e886c2
tsumepara,3,e210564ba5a460984b63681dcc4bc1a69e5a0a4fc34263eb9060e94e737746e7
tsumepara,4,575565df7d282e169c7cc495b5b15fb49a3280c92ee0cf8c05759326e9c7dcbc
tsumepara,5,17f57457ebae77aba56067e7ea7e66d1a94f54c5704856e88901ed3c37a1d182
tsumepara,6,70fc84921ecba8ddf0c0d1f4aa500e513a4dedf00d90dd1e050127ffedbc4290
tsumepara,7,a9ab6bff5d5ee2b16da09dca1da103b9ed8d90f0e3aa21a8e03a6fca8f0c0d3a
tsumepara,8,061a4e17e3eb71ca212a2fe59f26b803ade9775517c85c9fa51a09298e573c99
tsumepara,9,86c8a8e3d7a17430836620463446468c026427cfecf529c038ceae7c42b2c6cb
tsumepara,10,917572d4979f7e4dd2d44de775f1840fa6aebff82c0f6b4c4ea755d2dd6ec9de
tsumepara,11,e3ff6b70fd84cbd2d614ec7200ef082160a4f4af02a25216d8a654c74f8f5799
tsumepara,12,34fd48f1ed21db52819c5d1fc7d2d480b34b378a3b6ac66377b915e5942f83ea
tsumepara,13,5e324a0ee5913459bf8d252c121f9ce9532d558ef7341800e3e9fabd9fb6b916
tsumepara,14,ba4134dcf8c1be1c6bc6e912fad83564b9e8b7f7ae23d538d6f9d2029c6935f8
tsumepara,15,dcdbcbb8f7f09f261a6b078fb22e24419a1144eef78d572d58fe6d4bdb617123
tsumepara,16,ccf769a60d7a99700eb13c74c1495de588358cb170eec831023b9e54e1a6efa2
tsumepara,17,038b87716a86fab31f01046fbc34fb90c958de75442977ab9c16d75868258e6a
tsumepara,18,c2a16e1f5f1b6827921352136ee79bfc54597027e07728de9ca7258559b8a0f7
tsumepara,19,d87441f5dd62fa24d2829f53829a6690f0207095d2573a1595a3e95827df6f67
tsumepara,20,e38aec1ece8d9b54537da4b0f5d95b1395687795db639a77222eb7415a91ef3d
tsumepara,21,4230decb00570abe4f4c84d3c638a64bb71b967a9ee1ac422b9de8057db0b553
tsumepara,22,1718077123983ddbb843a9fc15be451d13ccf6b1d34f8ae93c03fbb2c840c2f2
tsumepara,23,fece40a0be54858050a9c49ef5cc9874780c1a83172a26f1a0433b83baf96d43
tsumepara,24,467e16c5d847324d6a0c1482d7ea563a8ea3bb210c133fd98e1107ce660d3e18
tsumepara,25,cdefd438a44c51e9970a280e988e9e4dc54738468393449a843bded14b202435
tsumepara,26,ea9be834c403ff81910e9d5fcc119a475d74f31e5ecd13e092afefbf4b38e529
tsumepara,27,a67056f1b24c2e988893a2a3e2f6afb3626acf464d172b3bb73d42e79e491378
tsumepara,28,80bacc783fce607aab2cbcedb2adbcff5319d2ca6c761b799574e55edd178b3e
tsumepara,29,1989374ed8568b33e419b319acfaed91b6d4aa699ea29d25835bf4d2c74f3bfe
tsumepara,30,180a745627497e62f32d45a358f86bedc25ce52bab62eaa1a5067b50acccf499
tsumepara,31,ceb298d67f45f119e33aab64e310b0d201ddecc6c74bb2e80144d9a008aa2554
tsumepara,32,f5a1296de2105a12ead4817773d277889740217a4185c034eb1e62df205825e6
tsumepara,33,5139689fb5e00b08177f0e0b3cf89f0adceaeaeb0c1c3901cacea40d55b45526
tsumepara,34,ddd2a43bbb19b9d589c8f48eb3d04d8f9e7134daa64669e83795b9f3cf179604
tsumepara,35,91cc6e31a70c67a0d8c423fbf4b63017604730dc61e32c6b69bc2f6e7ad74702
tsumepara,36,7791e01b1a87ab024fe5a6a336e5036443e6f1341cd895ab3029259f0dd2cc53
tsumepara,37,a6b2b1c439968be4a0e60a460f3d5667effbe854e2bf08ad9197c8a082eec3b2
tsumepara,38,0825279d04d8bd0643e648d9c3f1102909636dc5855e8c01ef00b049959ae1dc
tsumepara,39,fe0b731c2e40a761f99c47612baef4a0c59f4df868954ba3aadf7fdaf67ef623
tsumepara,40,b360fd97ff1e6db0e5c89bc83f59af846b1c0461cf589eb9567fb341bb4da160
tsumepara,41,c1f03b24c049ae9c5c123c88c1753fb68e4769209e19b0cb32cfaf7935c63607
tsumepara,42,0b27baea85c702e10cd51ff88343a66bb8b329d63744be6d59e0d9315944282c
tsumepara,43,2ba72b1e0fa962746944bb27410e5c38df41fab48e2bafb84381be08bd18658c
tsumepara,44,abaac5437876567ac340cbfb0e6be24cf4b415141b91aaad0c19b2ad01229981
tsumepara,45,cf8a5c7db33ecf21c9b930ce779691e836486d7b770d6b9d1096d401f912f386
tsumepara,46,2ac8c98dd8f72acb8bffdd907d9e685964243d8f079e201b83a5a5920eb3b525
tsumepara,47,21b2ece59f516c1853a2900c659ca996114db52247557a23dd9ed5745f06a5b0
tsumepara,48,c1624098123cfcc73f2ce065e50bf83f959cac968d838a7d5acde72519a86ab0
tsumepara,49,6bf704ec2954045746eba3dc6162bdad7b13e40d7c7a8fca54cfccde47e1be93
tsumepara,50,5b9580ce18ae35360f5c160f0fe0179e9660dead0dcb4ef057a377b087263855
tsumepara,51,e05002681fb58672d4664bd441f9bfcde16786e6b186ef6a2588febd5edcda49
tsumepara,52,b62b5d7d2882182e1ee0b60289754d4433820e361f7ed38000dec8379d4f6eca
tsumepara,53,eb4269394b1af4d78aec68fe673dcb901b9f0ef7d4b14651b1fcc1c1545d18a9
tsumepara,54,9af93f429e18a0971487f0bbc8f51bad3036b61ea3bd1a9a447c73b4cdf1ef15
tsumepara,55,f35f30bbd240a442fa45c03ec446855f276ec7547bb7da1c4ffa332bc37b4b1b
tsumepara,56,a817c97dffa19ccbcbadfb2eb8d31e6916acbe1ca7b33e85924e56e78d56cb09
tsumepara,57,70987e2ad7e07a45caf090a5464f501b6a53094055c030acdaf02190219e90c2
tsumepara,58,289bb8d5b3f12cc51d256cbcf53a1899619cad5cb077160e292f8312cadc2400
tsumepara,59,037b5cde99ff2ce32ff55164c081a28c8664bebc55b083ff2cb6628e5f32e0f8
tsumepara,60,a12ced01f668f0839781a0fba9ae4ef339cd1425f9734d93eeb873a9daee8389
tsumepara,61,78b55707daa4c7ef95bcbe11c2991bc8c49bce94db6cf232d062a712d3c6c492
tsumepara,62,ec01499fac1735f2348e864a89ed83f7703308a6a4ed2eededd997829cb1d2b6
tsumepara,63,64ae0d7fdea46e20d7b7fa866686c616d78dab243de1bd985462b471461b2ca9
tsumepara,64,5074ef94c62b85116fe0388aa53a35a16a7bc9f398754f33982970ac1a24e1b4
tsumepara,66,329a3fc99c27d8b08d5343a71bf86b75c1fec074e29780f438e38a963b8ab96d
tsumepara,67,31fdfb47295d86c3f3c4b763cbdcdefd1e1779a4bae267b350ccea9b9efc6cf2
tsumepara,68,bc2d3c31d2aeac45ba22a3dead1660df8b215e8896e2870ffc1819487bfd2b34
tsumepara,69,61a5036d453e39d362ffc91ee89f5d96eee0cfca8916c9eb59be91caeb69b703
tsumepara,70,ec1a76a502a5a13a8c2d1db8998804366d678b56e01f5dbfbaa55f057fcc7300
tsumepara,71,3bb28c770dd25bd118abbc65ccb1410763f3ebb5ef9f8857ef5d51b8e143aaf6
tsumepara,72,bcb298842bb9d8c030d37c656324b1928d1e030eacbd27dafbef685ab1ffc7c1
tsumepara,73,31b1d7dfaccd4758f02d16dda936427c79250ed4979ac535c096899ead0bb7ae
tsumepara,74,a502329507e532f3c51a96468cd076eef9b84cd2e2347a615306a62b9513a09d
tsumepara,75,870da96a98e4fa2ce9f4a487d76861b160b85e78be1b5f631a2692712dfc47e6
